11386 entries
44 namespaces
9519 values

Namespace Global (10608 keys)
	B67D88D244614D1A10D3D1902E9A1278 = "
	3F23487440EFC171EB2FC783D0F91BFD = "Aanvalsschild"
	2F9851704335C28E3D6FA1AD69D3DB13 = "Valt aan"
	EEC026E2436D470E290E82BF8A1C76F6 = "Assembleer Verbinding"
	6D7F212549B559D2197C97A65D597ED2 = "Montage vereist!"
	B4B9A5D24D91764C3F5F1F94BD474588 = "Toegewezen Missie"
	909941E94D24F62248BB13984F30EBB1 = "Toegewezen Missies "
	ABDE3BB74428072B8E1C00878B5ED751 = "Opdracht"
	898C143C4A3237A8BB38C1B4A13498F0 = "Opdrachten Bord"
	94EC90384F5980181E327597B0E23BD4 = "Opdracht voltooid"
	68DB262A41A67F87103604A222C17C30 = "Opdracht Missie"
	9DB1E50245ECD3FE1FF7D08BA4DE6721 = "Opdracht missie {level} van de {max}"
	81E256A34AB62AFA9923509197B494D6 = "Opdracht Missies Voltooid"
	85094F7B4C8C8927C04F23B13A8E365E = "Opdracht Voltooid! Gefeliciteerd!"
	1F3FAE554C3E6439020AA4A6B4988A81 = "Opdracht voltooid! Het management heeft uw licentie geüpgraded en gewist voor meer uitrustingsopties!"
	63B7BF294A0B43228B7001889D38C603 = "Taak voltooid! Of...nee, wacht...mijn fout...er is nog steeds een missie te gaan. Mijn verontschuldiging."
	B20362184545F8CC9366799AEA83FB31 = "Opdracht Voltooid!"
	886FA8DF4B141DBEA134C1AEA1FE4067 = "Opdrachten Voltooid. Item ontgrendeld."
	9BFDD3254D6A7E34A0E73DAD4981B509 = "Opdracht voltooid! Nieuw item is verkrijgbaar om te dragen."
	D5EF2DC94B8354EEE5EA6AB1C70EB836 = "Opdracht Voltooid! Er is een nieuw item in je garderobe! Draag het met trots!"
	5F70165E4E9F3074AEF847800ADB98E6 = "Opdracht voltooid! Je krijgt een cosmetisch item als teken van onze dankbaarheid! Wees er trots op!"
	44F495A64235D4A51D2933BDB401B6FA = "Opdracht voltooid! Je prestaties zijn niet onopgemerkt gebleven door het management. Zij denken dat je klaar bent om nog grotere uitdagingen aan te gaan. Ik kan niet zeggen dat ik zelf overtuigd ben, maar we zullen zien."
	668ABFEF48EC05534A14B79017E30299 = "Opdracht missie voltooid."
	19323ED84A8EA8997995DEB5993D9D8A = "Opdracht voltooid. Je presteert goed."
	9356993A4C513B61B1B041A95AE21000 = "Opdracht niet beschikbaar"
	8EC065F5490529525AAE019EC3D47173 = "Opdrachten"
	B6DF99A941CEFD1357A75085874BA45C = "Opdrachten"
	EE32CB3542D966A52B172F8072D927D1 = "Opdrachten"
	3F5A7D9444C6C21AFEBFFF999FFF1D32 = "Opdrachten Voltooid"
	C7853B674E0C10EAC612E7AB8560E8D1 = "Opdrachten zijn specifieke sets van <bold>opdrachten met hoge prioriteit</> die van extra belang zijn voor het bedrijf. In ruil daarvoor krijg je een <bold>beloning</> als de opdracht is voltooid of na elke stap. Beloningen kunnen bestaan uit <bold>wapenlicenties</>, <bold>promoties</>, toegang tot <bold>nieuwe terminals</>, en nog veel meer."
	66830EB3493577D1F72B819DF4C1A2A3 = "Geassocieerd met een gespannen maar toch amusante persoonlijkheid."
	52C91EF941026FEA658ED495FB2CF58B = "Minstens een van onze xenogeologen stopte in woede toen het onderzoek in deze regio begon. In plaats van conventionele poolijskappen te hebben, en in strijd met alle natuurkundige wetten die we kennen, rusten de continentale platen van Hoxxes bovenop een planeetbrede permafrostlaag van enkele kilometers diep. Zoals altijd raadt DRG een 'niet vragen'-benadering aan bij het omgaan met de eigenaardigheden van de semenstelling van Hoxxes."
	562081CA48E01E51B47280AA0BA37557 = "Ten minste één van jullie moet bij de Brandstof Cellen blijven! Ga terug!"
	91F3FB314BA54A9CF917B387914F3A3D = "Deze kunnen we tenminste in het gezicht schieten!"
	1601DAE24C6CE7F6096A2BBDA59F26B1 = "We hoeven tenminste niet al die mineralen zelf rond te sjouwen!"
	2223FF17454F2158BC68ACA859ABC4F3 = "279/5000
Bij de <bold>KPI-terminal</>, in je persoonlijke hut, kun je de <bold>Vaardigheid Punten</> claimen die je hebt verkregen door <bold>Mijlpalen</> te voltooien. Gebruik die punten om <bold>Vaardigheden</> te kopen. Selecteer de Vaardigheden die je voor elk personage wilt uitrusten bij de <bold>Uitrusting Terminal</>."
	DFDB7BC047069A45CE1558B7F161892D = "Op dit tempo ontplof ik zometeen."
	688CE43D4DC3576834FD96B875E72D82 = "Sluit aan"
	9F357D2545D2BDD76D1A1180E1D86032 = "Bevestig het Been"
	EDED0F5F414905C0E509149619BF3CF7 = "Bevestig Mineraal Extractor"
	C4A24A6D4928D9B13B134F84D391B553 = "Bevestig de ontbrekende poten die in de buurt zijn gevonden en repareer de Mini M.U.L.E.."
	4065D6574644A3C6767CA6A20FD188F1 = "Aangesloten!"
	27C90A91456531D6FAA3518D58367D23 = "Aanval"
	05A856B94C0A43DF3B9DFD9AC0D67361 = "Aanval van boven!"
	6D7F2D404151C4B857536E80393426FF = "Val hier aan!"
	B22CB33E4079E52EA6B4239C3B416314 = "Val die vliegende monsters aan!"
	0B09C01A431F12A6C745EDAC5C8E85D9 = "Val het hologram aan, domme insecten!"
	9FDF3DA74CAB7050038218920F37B6BA = "Val een vijand aan!"
	5C6CFC6D49D39471E7F698BB212300D2 = "Val dit aan!"
	1A62BA80404AB5625BC5778CD5E596F1 = "Aanvallen!"
	4F05F32D463CCADEE0EDC9AC5BFA1A58 = "Val aan!"
	8015F3714EB2E10EB807D58155205E1B = "Val aan!"
	E60CC03749505AEB07A8B1BB9A4C0A53 = "Aanval:"
	0D213DCC42368F60774E508A028098B9 = "Opnieuw proberen te verbinden"
	EEE096F5410E34ED7E1BDDAE76A2DF98 = "Opnieuw proberen te verbinden?"
	5C5674C0403DF35ABAE6339A309F7B15 = "Let op!"
	208F769C440EF6834ECCCCAB49420E5D = "Aandacht! Een Missie Controle Speak ontbreekt hier!"
	DCE6FFA04600D0B3A7D032A3B69AC467 = "Attentie! Nieuwe mijnwerker inkomend!"
	EDF7A03342A6FF7985C8419B957017F2 = "Attentie! Scan de Mini M.U.L.E. om jouw Terreinscanner de updaten met de locatie van de vermisde benen. "
	14938EED491DCFE70B24B69965500318 = "Attentie! We hebben een lekkende pijpleiding! Jullie moeten het maken!"
	875D9643410E1E390DEA568FE89254D3 = "Opgelet, de Mactera zwerm is hier!"
	26F5A4134348048A7FA117AB241D456C = "Opgelet, mijnwerkers!
Op 13 mei verlaat Deep Rock Galactic eindelijk Early Access! Dit was een geweldige reis en we hadden het niet zonder jullie kunnen doen, onze geliefde gemeenschap. Jullie hebben ons de gehele weg gesteund met testen, vertalen, feedback, ideeën, kritiek, memes, live streams, fan art en fan trailers. En jullie hebben het mogelijk gemaakt voor ons om meer dan een miljoen games te verkopen!

Maar nu hebben we jullie nog meer nodig dan ooit! Wij moeten de wereld laten horen van de start van Deep Rock Galactic. Dus hoe kan je helpen? 
Hier zijn sommige ideeën:"
	E73F93D24873444CD3EEC09F4C2B9E38 = "Attentie team! Scanners hebben Kernlaadbus opgepikt ergens in deze grot! Je wilt misschien nog een kijkje nemen voordat je naar huis gaat..."
	DD3B622143872A024696098EC7025BEE = "Attentie, mijnwerkers! Voltooi je doelen van de tweede fase van de Diepe Duik, en we sturen je de transport capsule om je dieper te brengen! Ga aan de slag!"
	BC9BC9A348BD60F561A96A866DF103BA = "Attentie, mijnwerkers! Jullie Diepe Duik staat klaar!"
	249AFE8141710B14B893C4A7AE4E7BA8 = "Attentie, team! Om de Drilldozer op volle capaciteiten de laten draaien moeten jullie hem vrijhouden van ongedierte! ...Oja, er is ook een zwerm inkomend!"
	160FA93F4BDB09946CFD52A84F39EF86 = "Auch, ik ben geen ballon."
	6D76CA494E3FCD51CEFC1B8C2E117AD6 = "Inkomende audio bron"
	EC8E71D043359309C4E9EA8FBC6E459E = "Uitgaande audio bron"
	89E0657E4F858B03C743FA8A2F027E8B = "Audio/Visuele/Cosmetische mods hebben een onbekende status, totdat ze geïnstalleerd en ingeschakeld zijn.
-----------
Kan Geverifieerd of Sandbox worden."
	040098254388FF556125F3BEA0691F99 = "Auteur"
	39B26B4F4EDE4FB0D90C42AC3279C05D = "Geautoriseerde Mijnwerker"
	524245084B7C09D52D8F16BECF647964 = "Geautoriseerde Mijnwerker"
	5312AAE843C0B2AB3294C087F8336207 = "Geautoriseerde Mijnwerker"
	BDFC0EC54E6B713949D2CBB2E0A74795 = "Geautoriseerde Mijnwerker"
	E4E30B6341BBDE1EAFF43893D1CCDB5E = "Gebruiker autoriseren..."
	31DC219B4E143D32BD5C3BBEEB8A15E5 = "Auto ververs lijst"
	D0A96E4646654D19C5D6CFA09A070838 = "Lijst automatisch verversen"
	55EB682743980657612E31907A38E482 = "Automatisch Herladen"
	8F7CAA3F4C3B6AF6F35504AFA01E50AB = "Automatisch Herladen"
	B6D156E94F7A013BFFBC2B8F7A397DAD = "Automatisch Herladen"
	CF2D16E64D8E8164645E2DB3A3062D23 = "Automatisch Herladen"
	8E9526BE4430238DFE180CBD8C7BFEF3 = "Auto Sentry is besteld en is onderweg!"
	9A7702554B1357270874E2BD029DC56C = "Auto sentry is onderweg!"
	8D65B5C74686C2830625E8ADB997CA61 = "Auto sentry besteld!"
	5E0306A7409B35CD4209E3A886811A0B = "Automatisch Vuren"
	4A5096184B9F803F71901A93EA7714A6 = "Autosentry gearriveerd!"
	1F4911BB405794412C2AB1BDC85D23F1 = "Auwwww! De doornen!"
	E752100E40CC177232EED38D5DE0494A = "Beschikbare opdrachten"
	E234C0EA47F98595D4A7028C3C51EDA9 = "Lawine"
	A66492B847D0BA4EC6FF29BEBEB9475E = "Gemiddeld"
	77ED101C499113898CB9E294598EA976 = "Aw man! Mijn harnas! Ik heb het net laten opknappen!"
	97CE0DA44F441BEB3C838987058CFF4E = "Aw man, jullie gasten zijn mijn beste vrienden ooit. Heb ik jullie dat ooit verteld?"
	B92FC52748BEDB7030E3FC83220FB3A6 = "Aw man, jullie gasten zijn mijn beste vrienden ooit. Heb ik jullie dat ooit verteld?"
	FD68E3394F14ABC02E3CAB9464F23152 = "Aw man, jullie gasten zijn mijn beste vrienden ooit. Heb ik jullie dat ooit verteld?"
	91B7A7C943788BFC475798ACFF1BFF9C = "Aw man. Hier heb ik niet voor getekend!"
	C8FA8C3D4B44C6164ACFA99F3564830A = "Aw, Ik mis Hoxxess...maar Management kan mijn kont kussen...!"
	5E5AB0904CC5D101661BC3BC21E80143 = "Aw, shit...DETONATOR! HERHAAL, DETONATOR!"
	74C0D53A44D3E36B67A59EBDF0459DC3 = "Aw, verdorie"
	F5E94BB74C59DEC439B8D6BC5EF45593 = "Prijs: Stomerige Helm"
	65DE7B914B602CC60CB6E892D4C5A3C3 = "Toegekend aan alleen de meest ijverige dwergen"
	978423B74BF979B6440BF8B592CB203D = "Toegekend aan alleen de meest ijverige dwergen"
	A43702A4457E4F789B7F5283E3FB807E = "Toegekend aan alleen de meest ijverige dwergen"
	3377BBFA47E5A8F4C16704B79E835BBC = "Verschrikkelijke"
	DF9E85CE41E1B69B7B1129B0565E2FE2 = "Awww kijk nou, het is gewoon aan het chillen! "
	FC71EFE14ABBDE70F125B98CE5A2897A = "Awww kijk nou, het is gewoon aan het chillen!"
	15DE45674B17456C9B78408A8CA9E6FB = "Bijl"
	3F12DEAE44FA09642CC737B266E6CF7E = "Bijl moord!"
	F75DBDB240F17296237292954E8F3095 = "Bijl aan, bijl uit!"
	207597684CDFFD148AC669AAB712AC1A = "Bijl gereed!"
	2842F6FF4F32C4515FE3469E0EE1B8C7 = "Pak je houwelen erbij! We moeten de lasers aanpakken!"
	668F03764820AE0064621BB12C5C948D = "Azgaraz Ale tegen de heimwee, Lloyd."
	330C4FAB434CEA8BF6A9FA9237E01338 = "Azuurwortel"
	7064AA2A4FCB2E9BA0DB2E9086072A29 = "Azuurwoud"
	783679684CA8D933B287B1A44FA73A43 = "Azuurwoud missies voltooid"
	2F4C03C54E3AF88E76419EA4FE9397FB = "TERUG"
	9A6527D440F49372DC0CFC859C6CB1C9 = "TONNEN UITDELER! "
	5A85DE1140E707FCC2A38988D4DAEA30 = "BIERLICENTIE UPGEGRADE"
	4CA396F145B211685401B4BFF7CBBAA1 = "BIER NAAM"
	82E0000A4E1E317CA7110F98F0A427A7 = "BET-C moet stoppen om haar laiser te activeren en een precisie salvo af te vuren"
	1935B44D45AEC217359409945BBF0BBC = "BET-C maakt mij een beetje bang."
	DFEDCAF746A561C2E2C4D0A57D630C8A = "BIOOM NAAM HIER"
	C711BE1D441B39A736BF56AB8866BA97 = "BISMOOR"
	8DCD49104A81DDA80E3E5694736EBC1D = "GEBLOKKEERD"
	25574FF04560C2804C3B5F88AEAA005E = "VERNIETIG DE KERN"
	3FFF568840CFD6200F506F98A744826B = "VERNIETIG DE KERN"
	C7CC6D6949C88733A047A883BF1F3D80 = "BELANGERIJK NIEUWS: {Creature} {Verb} {Person} Wegens {Resource}"
	AC61E496422DBE7DC9D06C9AAF5B834C = "BELANGERIJK NIEUWS: {Person} Ontdekt dat {Creature} {Verb} {Resource}"
	DBCC88054B295B09748999AB86098540 = "BELANGERIJK NIEUWS: {Person} {Verb} {Person2}"
	66BF49FD45F05EA4DDC7099F0B808A14 = "BELANGERIJK NIEUWS: {Person} {Verb} {Person2} En {Resource} Verkoop Daalt"
	438BC5584F06423CDBBB4B85CF998843 = "FIREWALL DOORBREKEN"
	D048086F48010F2179B7CC8AA4D58DF9 = "FIREWALL DOORBREKEN"
	177504BB476C21A5500B4D9880FE49D3 = "BURP!"
	1C7CF05540FBF4B364BE0A8CEFC58BFA = "MAAR WAAROM? Welnu, we hebben een grote herschikking van de Perk Points en Milestones-economie doorgevoerd. Bij de vorige implementatie was de grind gewoon te lang. Ons ontwerpdoel met de nieuwe implementatie is om je in staat te stellen de meeste voordelen te ontgrendelen binnen de eerste promotie van elk van de dwergen."
	32D1DD734BA49FE1E0B0C1B5C631B2C2 = "Terug"
	438893FB45ABDF244FBB0DB4BAC91FCA = "Terug"
	8D7CF4E34BC669A09D88ECBA17D19624 = "Terug"
	D0EDCD9346C0B9409DA51D860D09A284 = "Terug"
	E16950D84BB0749128EF9BB1F213B04E = "Terug"
	E9BA47754D89430BEEBA5C9756EE6D85 = "Terug"
	BB511E2F4BC9425684F49F831E25F667 = "Achterblad"
	1E02974D4BD015F60684E58D2038E6AF = "Terug op je benen, steenlikker!"
	940F4F8641DFEA24AA629EA88CA60FAD = "Je bent er weer!"
	B2FEAD424F3EFBED45EBBA941C010564 = "Backend ontwikkelaar"
	E338EA8C45CF6EF401148A8C007BE33B = "Rugzak hier!"
	7A14A13A46ED11C08875BCA95F032267 = "Slechte"
	33D880114EBA73EDB8E86BA1D227E434 = "Slecht nieuws, team. Een roedel praetorianen zij op weg naar jullie. Hou jullie klaar."
	F77FD6A24F0A2E6B8F7F89974443914F = "Slecht nieuws team. Een zwerm van Macteras heeft jullie geur opgevangen. Bereid jullie zelf voor."
	17B8F6B64ABF888AFFCC34AC57D1755B = "Stoer!"
	F96FD72C4A50519CCC753D951690D3D6 = "Stoer!"
	02CC6E8A4B5D08B12FBF53AB38D7838F = "Kaboem!"
	A08023C44A7865BF1C99568597B193C2 = "Stoerste groep aan deze kant van de Beta Reguli, zijn wij!"
	AE29FA5F49B860E7CB8BC897B20551F5 = "Waaghals!"
	A468A900444B9E1A695945814B9C3F40 = "Rugzak is vol! Ik kan niets meer dragen!"
	6F0917084169EB3836DE98AC09DB6011 = "Rugzak is vol! Ik kan niets meer dragen!"
	5F5F82B24CB305AA449CFEA74480B277 = "Bah, zesvleugels irriteren mij! "
	2AABA5DD4FF5A2D1FC5DCF9DB0C5E6C3 = "Gebalanceerde Overclock"
	600BD49B4CA0E6A07BDDCEA4ADDD581D = "Boem!"
	685E246B48756B30DD22B494A3E73AC7 = "BamBabammm"
	20DD7FE8472B9E9299D36D928991E6B3 = "Waar voor je geld als je het mij vraagt!"
	6F8D55DA4592697A6A375CB17235AFBA = "Waar voor je geld als je het mij vraagt!"
	94B3E16D4288D90D2A6A8E989B8ECEBF = "Schud je hoofd naar dit!"
	B7C156FE43579C0507CA6AAE96EFF315 = "Gewoven vlechten"
	E3D4B7A94B88DD2CCC57CCB0E7610CE6 = "Doping door vuur gok ik!"
	C46DE433451C265C17CFB79FB82BB593 = "Barbaarse"
	96AC1F774813D6C4D33837A242274071 = "Boor met weerhaken"
	7254E58A4A64A60DA30B9AA733268DFA = "Kapper"
	710CDE9A4ABD47A98346FF8B8C258A1F = "Blote"
	1CC90129456CE400425A53B6091FA4B3 = "Blote"
	9343BCC044B5DFD54D869FBF3D1BEE31 = "Barman! Rockbearers, graag!"
	2D491DDD42FD4EE753B06B8BAD4BAB99 = "Gerstebol"
	CA87B793496FD4501A8CFC88D9362774 = "Gerstebol"
	D9EE91484DC3CA9DAB19B39F451E4314 = "Gerstebol!"
	A3C087D046FE3326241C82B213CFC78C = "Gerstebol! Hier! "
	39D1A1C8451CD6711C0E5D9CA685F46A = "Gerst hier!"
	35D12AFE4D32B99065BFB7984B7EA62F = "Vat verdeler"
	C3593AEB44875571759C6B9BB7603D75 = "Vat verdeler hier!"
	3FC840C6487C4010213BE8874FB51F39 = "Tonnenval"
	732E87BE4BEC6A24F301328074C5E170 = "Tonnen Schopper"
	0E712BDE406B7240D92D39AB0AD19AE0 = "VatenSpel"
	3BCF4C82412D8245811BB1A732DF0BB7 = "Vaten moeten met rust gelaten worden, en er mag niet mee gesmeten, geschopt, gegooid of op welke manier dan ook verplaatst worden."
	D7E7FEE543A93078D3AACCA132A26617 = "De loop blijft langer draaien na het afvuren, waardoor het wapen langer stabiel blijft"
	E9CA12AE43FDC3329E94D1A143C3DF28 = "De loop blijft langer draaien na het afvuren, waardoor het wapen langer stabiel blijft"
	B288A6B24E76D26A7E8C6DA8DBACFA9A = "Vlakte"
	4DF05DF84063710D29257586DF49682B = "Barman"
	6D70196D461A616B116B49979219FCA5 = "Barman! Een rondje Backbreakers, graag!"
	F203857B4DF7A320DCC8F1BCD7EF7845 = "Barman! Een rondje Glyphid Slammers voor mijn team!"
	9CB6F859434C5084F69D9C9D4B4711C9 = "Barman! Ik heb een rondje Oily Oafs nodig - ijskoud en schuimend!"
	FBF850D6471688907F907CAEE392CB17 = "Barman! Rondje Red Rock Blasters!"
	CEFE09BD4B5BD792CBF585894F2B88AE = "Barman, zet wat Blackreach Blondes gereed!"
	6A7F165346987D517A6A058AEFAB08E6 = "Basis"
	DACE68044F6B82CF56F7BF8D5C56AFA2 = "Basis"
	6336D8BB479D89E9BA57B68A46033AEC = "Basis nauwkeurigheid verbeterd met pin-point nauwkeurigheid bij het eerste schot en betere terugslag compensatie over het algemeen."
	745C0BC34F6C5FBCCAB168A7B8A263C2 = "Verbetering van de basisnauwkeurigheid met een pin-point nauwkeurigheid bij het eerste schot."
	4D6B634543BF3ECAE99850B637DC74AE = "Basis nauwkeurigheid vergroot"
	5402EFC34F31033A241C43A2942CCEAE = "Basis nauwkeurigheid vergroot"
	8B80BA4E431C304DF09B91AD12F91569 = "Basis van de klauw"
	A1BD6D4E4BD909B0E0269591CEB87EAD = "Basis"
	B5868CE640E758D1F2FA0DBA30971853 = "Eigenlijk een halve baard op zich"
	ECF757E94145E00D9D544EA963E7F454 = "Basis"
	80B32FAF4D9C750047364482D6A42839 = "Koester in de gloed."
	2223EE0D4985A95F10018887FEF4F431 = "Die Klootzakken hebben mij geraakt!"
	CB5F425341AB471F0B9AA6B9D64DA644 = "Die Klootzakken hebben mij geraakt!"
	A529B15E43A43DF1EF0AE0AB91911FDC = "Batterij Pack"
	D34BF0CE4392E6794BFAC2BB8FC8E8BF = "Batterijpak"
	D518ECE84B7EC67B0DFD3AA7604A0E80 = "Stopcontact"
	C105100147E97832EE7FEC86990C43C2 = "Kalm en beheerst"
	41C08E3B4516BDB55E86E691C12C4829 = "Oorlogs zucht"
	B1CA923D4DD827A08F92179234AD656D = "Strijd M.U.L.E."
	294BC0AB4FF97BD761A189BAC955208D = "Prul"
	2EBD5AB5461DBCF508E0CE877D006A37 = "Of het nou een obstakel is of een koppige tegenstander, een ouderwetse springlading maakt het werk meestal af. Hou flink afstand voordat je de knop indrukt."
	B51CCB2047A013230DE0109B6CD08044 = "Of het nou een obstakel is of een koppige tegenstander, een ouderwetse springlading maakt het werk meestal af. Hou flink afstand voordat je de knop indrukt."
	E7772B644C5F4A6306B38189DA3EEECB = "Wees op alles voorbereid!"
	ED68A1E942DA270CB9B574B9A3965838 = "Straal DPS"
	373BD4274F602820DA2DBD8F7C2CE5C2 = "De straal draait en gaat langzaam vooruit, constant schade uit delend"
	895880954509B58788A917B660221338 = "Lasers! Hak die dingen neer, tempo!"
	96C4F1564F1B57D4D09E7CA2234CE78F = "Beanie - groen"
	384D191244AC7DCA6A25459FF2C2F0CA = "Muts - Wit"
	69C98177497A099E0039C4A4E8A0CFA3 = "Baard Pantser"
	BF10C03E4B69179509685DAC7C6B7DD5 = "Beestentemmer"
	203C1ED74309704FB93193B6E6554C29 = "Omdat je het verdient!"
	E99709294EF88A54E1C41FBD74131A9F = "Omdat je het verdient!"
	ED63A1A24084F8820817FD9F178C7D1A = "Omdat je het verdient!"
	FDC0C9E54D09D0018DAD29AD30E5C71A = "Word een bekwame mijnwerker!"
	A2BCF33C45C57D69DB24ABB8F3B0773A = "Verblinde"
	4C9733E647C5C934FA8B93BE28ADC3BA = "Dieptepunt"
	27C8733842EB870D9C80A4A9AA79A595 = "Bieeer... ik heb gewoon een biertje nodig... en ik sta weer op mijn benen...!"
	E51932AD445E1F14448522B31A731E25 = "Ik heb me kapot gewerkt om dit te krijgen!"
	DFC8A5274665F68E6C0733956E815E9A = "Piepend ontplof ding ingezet!"
	403A0863401F0874DAC89B9AD9C27505 = "Bier"
	D6AD21D249E9A54B931AFF958D1C296D = "Bierglas"
	24A76DAB42EA967C4944B685FC37F534 = "Bier Recept"
	B6085879441A041A50A6539549F344F9 = "Bier gooien"
	E8AE3BEA4D9C33409DC81BA02E37853A = "Voordat ik het vergeet: nog een rondje Blackout Stout, Lloyd!"
	86C5B8804E2EDA3024747A82456D06FF = "Bevriend"
	56E6F1664E48779BE32A35A0A4B39920 = "Start Pijpleiding {id}"
	5F95DFFE4973DB9B9C5E2D8CFCD846F3 = "Beginners"
	3DA275554F895A92CEF0D6B56D784817 = "Weg!"
	11D68ADA4C38FEE2082642AA554B6838 = "Geloof in Steeve!"
	BB4B4D744D0E48740BEDD6BB84BAA66E = "Buik"
	51273C4247CA6DF6BB32759AD4C62AB9 = "Voordeel"
	729FCDEC42A337CC1A3A0587C21DFBAF = "Baret - Rood"
	81CE7D4449F307BAF49B20A61AC6F1BB = "Baret - Uniform"
	59D5E34649FFA5F97E3BE794B413DAFD = "Beret - Wit"
	8F7E158B49121DDA75D31AA963E779E2 = "Berry goed."
	697E4C9D42D45D935CF4148E5E29EFEC = "Naast het op niveaus gebaseerde beloningsprogramma biedt het bedrijf ook zijn nieuwe <bold>officieel uitgegeven betaalmiddel: Scrip</>. Met dit kun je <bold>kopen</> wat je maar wilt van de <bold>Cosmetische Tak</>, die vol zit met <bold>cosmetische goodies.</>"
	7F07D78E470B7618BD23A8B990C89E19 = "Beste Diepe Duik voltooide tijd"
	21B71C6B48DF5AAAF12A638A9F6A35AA = "Beste Elite Diepe Duik Voltooi Tijd"
	64CEA82A4C611425E12C6685D60E116D = "Beste barman aller tijden! "
	799C84E34394F038FA555CB604EB18B8 = "Beste serveerder ooit!"
	AFD84F3046CDA6FFC5F1F49B4179DE26 = "Beestachtig"
	06F542CF476AB79F7CE09E84AB91BA54 = "Bestiarium"
	1C4D435D49245DD1EB6046B8E1E5C72D = "Verraad"
	CEB100EC446C64EC9ECBF8AFE4AAAC26 = "Betere luchtdrukregelaar"
	55B19BC541B9C99C577866ADE27F9D4C = "Beter Gewicht Balans"
	9CE1B0E340783DE23E94F6A20F435F3B = "Beter Gewicht Balans"
	ACA2DA5749FFB0A8636D39B4B4390F6F = "Beter Gewicht Balans"
	9CFDF1C3443C0A597701BE904056F801 = "Beter met vrienden!"
	17CBB7774E0FB526E069C4A9D838371A = "Grotere kans om het doelwit te elektrocuteren"
	E02658794B240B079E4A48A1E6901BE4 = "Grotere kans om het doelwit te elektrocuteren"
	72C566624341D415C6325DB2ED0A4B75 = "Beter dan vliegen!"
	2ED3CB6A48527D7C7D52FBAA7D75EAFD = "Dranken"
	75DDA52C4FDC603E6405C4B4332151C5 = "Voorbij Het Circuit"
	ACFB61EF4CEBABFA4B1E608A84D25151 = "Groot"
	FE9E521249EB5156267589AC7B7DE8E0 = "Grote Knal"
	483BD90A48E951883B472A8D3168AA2D = "Groot en dodelijk en vies. Helaas jammer dat plutonium te zwaar is om meer dan een paar mee te nemen. Vergeet niet om ver weg van de radioactieve neerslag te blijven."
	A97575E74FDB69A74121548E42ADA97A = "Groot blok tekst hier! Groot blok tekst hier! Groot blok tekst hier! Groot blok tekst hier! Groot blok tekst hier! Groot blok tekst hier! Groot blok tekst hier! "
	5BA9A3F24C95A6C30CE6119F7A2AC1A9 = "Een grote zwerm is gedetecteerd. Riemen vast en maak je klaar."
	6244F5804D33CEA137DAE6951CFEAA6A = "Grotere Lading"
	C1CB1A10484BAA748775A0A431A95E20 = "Grotere Explosie"
	DF402E9F455E84A36CF500A8847A2A8F = "Grotere straalmotor"
	6DC59D154FA3DFAB5404239269434F67 = "Grotere kogels"
	1A9F1C994DB33645910DE683E7C7A184 = "Groter platform"
	84A6C0AF4B764E0117D9B2AB1D6C13E6 = "Grotere explosie radius"
	CCC79A484D1A7F9CFBC5F1B9071C13B1 = "Bioluminescente fauna"
	ACC95B0E4587FA88D1DFF7A14CCE8D5D = "Bismoor"
	E89837F1492922C6F6862DB16C93254B = "Bismoor hier!"
	C5EE6E414A623C11FA263AAA3B6670A9 = "Bismoor!"
	A7FB9AA04DF6FA97FDC74DBD9F67EF7E = "Bismoor! Het voelt zo goed om het te zeggen!"
	0F607C5844373D17D91AC39B6E7C3C2A = "Bismoor, Bismoor, Bismoor!"
	3AE8B56D4C992F07D5E08A9D95C4BD74 = "Beetje duur, maar ik echt heb het echt nodig!"
	508A8A7A4B6AD4A9E4B3B3AB758539E4 = "Een beetje duur, maar ik heb echt nodig!"
	A90B23334E19173E5E2F939E0C2CD040 = "Bittere edelsteen"
	6E54EEC64A9558CBF2A1F99898181151 = "Bitterkristal"
	7A15A43745D793BD41B7BD84A4DCE600 = "Bitter edelsteen"
	DD1C700F412419804EC3AEBAEBB0C377 = "Bittergems secundaire missies voltooid"
	07D0614F49489891ED938AAB1FE971A1 = "Blaaah, ik haat deze plaktroep!"
	68FAD557426EF99CCDDCB58B429CF5FE = "Zwart"
	720F8A9D460AFA6F1B883AB30BED8AFF = "Zwart"
	DB3C6FF44FFD73DC9EC970AC4ADCC7FD = "Zwarte doos geactiveerd! Blijf dichtbij en houd het veilig terwijl het de missie data terug stuurt!"
	D5722C07436FC0BA8D1F748AD6950542 = "Zwarte doos gevonden en gereed. Bescherm het terwijl wij de missie data ophalen! Verlaat niet de triangulatiezone anders verliezen we de verbinding."
	CC8D6F3348E59DB853C7258BD4E3FF05 = "Zwarte doos is gereed en start op. We verliezen de verbinding als je te ver weg bent dus probeer de gemarkeerde triangulatiezone niet te verlaten!"
	9EEF90A3404601DEA57CE69F8E083A18 = "Blacklock Lager, alsjeblieft!"
	8788C5374A8F5D4B210F9AB2ED79CF4F = "Zwartheid"
	1213B27F4A33C36C28BB88B7CAC00956 = "Black Out"
	E8B2C2054E240D1DF50444888FD19373 = "Blackout Stout, alsjeblieft! En dim de lichten een beetje... dit gaat een moeilijke worden... eheheh!"
